train,test
-419.3337157659942,-419.3337157659942
-332.1965490071703,-332.1965490071703
-334.27264181415023,-334.27264181415023
-386.9227640510437,-386.9227640510437
-352.79106629436683,-352.79106629436683
-361.38862348842696,-361.38862348842696
-347.53397421265277,-347.53397421265277
-318.50881367678903,-318.50881367678903
-352.7901249098992,-352.7901249098992
-361.702209032448,-361.702209032448
-334.469216583637,-334.469216583637
-364.18861105058977,-364.18861105058977
-374.9023231015799,-374.9023231015799
-368.7084539274616,-368.7084539274616
-352.18863178785324,-352.18863178785324
-308.18781867781536,-308.18781867781536
-387.1453355425911,-387.1453355425911
-343.50035129649046,-343.50035129649046
-357.4846872066138,-357.4846872066138
-362.0952264201028,-362.0952264201028
-378.2031885446495,-378.2031885446495
-321.4243074741342,-321.4243074741342
-354.25041856501804,-354.25041856501804
-336.3153343655976,-336.3153343655976
-346.2621373867107,-346.2621373867107
-330.8740835256004,-330.8740835256004
-299.9219000252382,-299.9219000252382
-333.590238731371,-333.590238731371
-353.8484799454584,-353.8484799454584
-345.9711720704908,-345.9711720704908
-381.7425866654264,-381.7425866654264
-303.5299149351878,-303.5299149351878
-366.1809395810545,-366.1809395810545
-311.80266463685734,-311.80266463685734
-286.95545711640085,-286.95545711640085
-266.68236970787274,-266.68236970787274
-306.1662192878789,-306.1662192878789
-305.00538968788277,-305.00538968788277
-347.82715397867867,-347.82715397867867
-294.45513952510674,-294.45513952510674
-372.0379364148557,-372.0379364148557
-343.61902684647254,-343.61902684647254
-336.16992907055993,-336.16992907055993
-341.8768192886551,-341.8768192886551
-374.19951513875293,-374.19951513875293
-296.89747430744575,-296.89747430744575
-362.08480587244026,-362.08480587244026
-304.9909199901282,-304.9909199901282
-332.67932805713235,-332.67932805713235
-287.20422504282186,-287.20422504282186
-322.47319225315283,-322.47319225315283
-346.0925034160404,-346.0925034160404
-351.78376024750634,-351.78376024750634
-307.8519515308344,-307.8519515308344
-344.7298706758392,-344.7298706758392
-336.1294962648696,-336.1294962648696
-278.7710904476245,-278.7710904476245
-273.93626822979417,-273.93626822979417
-306.71679662372577,-306.71679662372577
-305.32170816234395,-305.32170816234395
-297.18987726821115,-297.18987726821115
-314.01096931265766,-314.01096931265766
-335.28203243507704,-335.28203243507704
-319.10327047744806,-319.10327047744806
-313.0167231748808,-313.0167231748808
-331.76663891870334,-331.76663891870334
-320.96474550856334,-320.96474550856334
-300.3833262163232,-300.3833262163232
-302.74950049077364,-302.74950049077364
-307.9494230469541,-307.9494230469541
-320.00881245561675,-320.00881245561675
-313.1738723644321,-313.1738723644321
-322.58878369625245,-322.58878369625245
-344.4822366890339,-344.4822366890339
-250.82632493659196,-250.82632493659196
-313.27259806377765,-313.27259806377765
-300.9591427734638,-300.9591427734638
-277.6039451533809,-277.6039451533809
-308.4002082179729,-308.4002082179729
-335.50260133621276,-335.50260133621276
-296.38669958428216,-296.38669958428216
-338.8445486605264,-338.8445486605264
-268.1626617386728,-268.1626617386728
-370.1314431100985,-370.1314431100985
-315.6030508445401,-315.6030508445401
