train,test
-321.08128529512965,-321.08128529512965
-361.41065477969653,-361.41065477969653
-359.426220595944,-359.426220595944
-330.99495793804084,-330.99495793804084
-383.33909569307576,-383.33909569307576
-341.7511690095149,-341.7511690095149
-345.84245422260204,-345.84245422260204
-316.64224514322206,-316.64224514322206
-376.66912699253226,-376.66912699253226
-348.08454377393053,-348.08454377393053
-319.7363175221244,-319.7363175221244
-435.125861833052,-435.125861833052
-368.4642592639727,-368.4642592639727
-420.27562845264526,-420.27562845264526
-335.84652446190125,-335.84652446190125
-352.32733879146923,-352.32733879146923
-360.17164408765376,-360.17164408765376
-332.8236286330775,-332.8236286330775
-364.62846277634634,-364.62846277634634
-337.3352582044605,-337.3352582044605
-338.75170427271655,-338.75170427271655
-345.1864766770788,-345.1864766770788
-326.526995505221,-326.526995505221
-305.28505288616435,-305.28505288616435
-285.26600703790297,-285.26600703790297
-332.61372901197655,-332.61372901197655
-332.53827030909827,-332.53827030909827
-336.36123550744657,-336.36123550744657
-340.5453465976211,-340.5453465976211
-342.36167563010787,-342.36167563010787
-323.7539053300993,-323.7539053300993
-339.769371338572,-339.769371338572
-343.9525262590088,-343.9525262590088
-342.913822762103,-342.913822762103
-352.8534443966788,-352.8534443966788
-315.61216422894285,-315.61216422894285
-320.8421607585168,-320.8421607585168
-344.13080512266424,-344.13080512266424
-329.65530781370416,-329.65530781370416
-324.52830349612645,-324.52830349612645
-326.96821273378487,-326.96821273378487
-307.36083094626537,-307.36083094626537
-311.02673827096163,-311.02673827096163
-330.54163310887304,-330.54163310887304
-297.5844593507734,-297.5844593507734
-274.66012393266976,-274.66012393266976
-362.6341813570435,-362.6341813570435
-317.0970630444225,-317.0970630444225
-355.699051849416,-355.699051849416
-337.82619648610114,-337.82619648610114
-283.8378325419899,-283.8378325419899
-374.99854240710835,-374.99854240710835
-330.7298355803064,-330.7298355803064
-342.8951437778974,-342.8951437778974
-271.1811583865615,-271.1811583865615
-317.6714931259759,-317.6714931259759
-340.84407371961555,-340.84407371961555
-347.00796907918095,-347.00796907918095
-331.4206842098108,-331.4206842098108
-333.67507393209866,-333.67507393209866
-339.5775522925065,-339.5775522925065
-318.68078430039185,-318.68078430039185
-332.11097075118727,-332.11097075118727
-333.837083890218,-333.837083890218
-329.2568286273371,-329.2568286273371
-315.09686052333774,-315.09686052333774
-335.10234694000707,-335.10234694000707
-320.22828529443467,-320.22828529443467
-314.74799925632936,-314.74799925632936
-318.57247829882124,-318.57247829882124
-348.89200670598024,-348.89200670598024
-319.84428003013824,-319.84428003013824
-306.6164380064096,-306.6164380064096
-328.55061793869345,-328.55061793869345
-315.2373676346139,-315.2373676346139
-274.6811277277787,-274.6811277277787
-324.6609624934938,-324.6609624934938
-352.35610930960917,-352.35610930960917
-311.9008158104653,-311.9008158104653
-231.94138186753818,-231.94138186753818
-275.24514925118973,-275.24514925118973
-279.18769960470644,-279.18769960470644
-316.2174154033731,-316.2174154033731
-291.4622839612055,-291.4622839612055
-331.3575933247248,-331.3575933247248
-291.0011917716277,-291.0011917716277
-295.1475581845513,-295.1475581845513
-321.7795526252835,-321.7795526252835
-298.5181415669905,-298.5181415669905
-342.205701248477,-342.205701248477
-322.05934971795944,-322.05934971795944
-344.0427622677149,-344.0427622677149
-302.4830763000963,-302.4830763000963
-331.02974863357304,-331.02974863357304
-364.41489620683774,-364.41489620683774
-366.88952654703115,-366.88952654703115
-267.49666859626257,-267.49666859626257
-273.481882889187,-273.481882889187
-331.16323580474204,-331.16323580474204
-326.2327696128102,-326.2327696128102
-348.4037540977118,-348.4037540977118
-297.7067172245481,-297.7067172245481
-326.2617981067797,-326.2617981067797
-315.1336408132648,-315.1336408132648
-284.2130749336728,-284.2130749336728
-305.8889887784218,-305.8889887784218
-273.2720883230573,-273.2720883230573
-329.19440875001925,-329.19440875001925
-272.14860201835313,-272.14860201835313
-268.3225594800607,-268.3225594800607
-307.3667806101635,-307.3667806101635
-311.4727458977493,-311.4727458977493
-275.5286194300548,-275.5286194300548
-284.5109069307257,-284.5109069307257
-274.260437867247,-274.260437867247
-281.03043721245575,-281.03043721245575
-291.3193203721431,-291.3193203721431
-313.87785414092764,-313.87785414092764
-310.0133772966537,-310.0133772966537
-305.2541268295392,-305.2541268295392
-270.5081819641208,-270.5081819641208
-280.12406296398905,-280.12406296398905
-339.3339373248035,-339.3339373248035
-286.43294614996665,-286.43294614996665
-300.9438400104437,-300.9438400104437
-324.7577966065087,-324.7577966065087
-265.15418146297714,-265.15418146297714
-329.8377804191421,-329.8377804191421
-308.6983436807188,-308.6983436807188
-335.45888401701677,-335.45888401701677
-274.18501601968364,-274.18501601968364
-307.27011147293916,-307.27011147293916
-291.768862706988,-291.768862706988
-303.91297967065344,-303.91297967065344
-318.5346015792469,-318.5346015792469
-295.82535882964874,-295.82535882964874
-271.52199001347344,-271.52199001347344
-322.0276258270799,-322.0276258270799
-286.87732354634574,-286.87732354634574
-266.5889443838475,-266.5889443838475
-294.6071835032576,-294.6071835032576
-290.5897796094789,-290.5897796094789
-247.89556376673374,-247.89556376673374
-230.14424397154303,-230.14424397154303
-286.791918446076,-286.791918446076
-253.8391150459589,-253.8391150459589
-321.59277992849985,-321.59277992849985
-271.69227907468644,-271.69227907468644
-406.12593701278,-406.12593701278
-285.5232522854481,-285.5232522854481
-292.92323180659326,-292.92323180659326
-301.284210805965,-301.284210805965
-323.0793716146137,-323.0793716146137
-240.51591862468814,-240.51591862468814
-403.78132960640875,-403.78132960640875
-255.97934871900455,-255.97934871900455
-272.07744524590356,-272.07744524590356
-297.56978681379786,-297.56978681379786
-299.29438562266137,-299.29438562266137
-359.25672511603983,-359.25672511603983
-264.80930483411976,-264.80930483411976
-277.3737539354963,-277.3737539354963
-244.29367664588105,-244.29367664588105
-337.68268390190525,-337.68268390190525
-257.5767948123369,-257.5767948123369
-276.0567548932678,-276.0567548932678
-307.0459492271796,-307.0459492271796
-272.32480983700356,-272.32480983700356
-248.5567780059829,-248.5567780059829
-333.16532856806936,-333.16532856806936
-270.0748750995814,-270.0748750995814
-293.989503787614,-293.989503787614
-288.8456398647848,-288.8456398647848
-258.17009413040086,-258.17009413040086
-337.26612195182946,-337.26612195182946
-272.9682632212619,-272.9682632212619
-257.41886501619945,-257.41886501619945
-246.56101559607262,-246.56101559607262
-332.710571237756,-332.710571237756
-327.49857604362995,-327.49857604362995
-363.9707835843207,-363.9707835843207
-269.2796778039503,-269.2796778039503
-284.49602427678684,-284.49602427678684
-275.94804538061663,-275.94804538061663
-261.7045268963133,-261.7045268963133
-274.91141720250675,-274.91141720250675
-267.6745526298368,-267.6745526298368
-292.95680836244657,-292.95680836244657
-254.71158967799138,-254.71158967799138
-222.4940067924339,-222.4940067924339
-275.3577455919872,-275.3577455919872
-251.46065587073775,-251.46065587073775
-389.78703910968625,-389.78703910968625
-286.6464275827294,-286.6464275827294
-303.7960917133098,-303.7960917133098
-254.53335074546317,-254.53335074546317
-297.50374445714124,-297.50374445714124
-244.57848456410184,-244.57848456410184
-286.20812640085654,-286.20812640085654
-333.2240740180289,-333.2240740180289
-227.65712634139413,-227.65712634139413
-227.9647117603665,-227.9647117603665
-348.5281019964904,-348.5281019964904
-317.00795629406616,-317.00795629406616
-268.042389011993,-268.042389011993
-196.41306185474212,-196.41306185474212
-301.5047357331737,-301.5047357331737
-267.28082728026624,-267.28082728026624
-263.09814457022804,-263.09814457022804
-303.85351554146445,-303.85351554146445
-267.4997044458946,-267.4997044458946
-267.5377325889856,-267.5377325889856
-262.19376316147566,-262.19376316147566
-186.03235495825996,-186.03235495825996
-284.5726669024309,-284.5726669024309
-305.29748716218137,-305.29748716218137
-262.3868007331324,-262.3868007331324
-263.68908903559947,-263.68908903559947
-293.1321121937021,-293.1321121937021
-248.07010354620172,-248.07010354620172
-273.01592263330446,-273.01592263330446
-247.66842197170294,-247.66842197170294
-304.1231471565024,-304.1231471565024
-226.87587856286873,-226.87587856286873
-280.61818431430476,-280.61818431430476
-268.2706652320365,-268.2706652320365
-325.2563085141679,-325.2563085141679
-243.14515175618604,-243.14515175618604
-246.68280478187418,-246.68280478187418
-305.7132047717295,-305.7132047717295
-272.3542810415479,-272.3542810415479
-279.6630074996993,-279.6630074996993
-268.4449181826976,-268.4449181826976
