train,test
-321.08128529512965,-321.08128529512965
-360.6110007208248,-360.6110007208248
-360.43540879435193,-360.43540879435193
-339.3653954822678,-339.3653954822678
-380.30945519507287,-380.30945519507287
-339.6545111454181,-339.6545111454181
-349.2255821369332,-349.2255821369332
-315.524620294095,-315.524620294095
-385.4098981474581,-385.4098981474581
-345.9355442742662,-345.9355442742662
-326.5720600520568,-326.5720600520568
-428.7757577479687,-428.7757577479687
-353.68102772568005,-353.68102772568005
-425.33670104888694,-425.33670104888694
-340.9468474259576,-340.9468474259576
-349.8104961695384,-349.8104961695384
-340.18325742320366,-340.18325742320366
-346.2829262808465,-346.2829262808465
-374.41377660735697,-374.41377660735697
-342.0974960210756,-342.0974960210756
-341.65211452943294,-341.65211452943294
-344.8814825620945,-344.8814825620945
-329.28159301002586,-329.28159301002586
-291.1699030330719,-291.1699030330719
-289.75572533647875,-289.75572533647875
-329.7547622398856,-329.7547622398856
-318.2527435661465,-318.2527435661465
-338.27604926291514,-338.27604926291514
-336.1763912922315,-336.1763912922315
-344.1166927925663,-344.1166927925663
-324.72124376768375,-324.72124376768375
-353.94258351138507,-353.94258351138507
-346.39784039373353,-346.39784039373353
-355.6600683135198,-355.6600683135198
-359.6223751564162,-359.6223751564162
-314.56012447763754,-314.56012447763754
-312.4726286461843,-312.4726286461843
-345.2725423354482,-345.2725423354482
-325.12054442487,-325.12054442487
-332.55607893760964,-332.55607893760964
-331.85309407300997,-331.85309407300997
-318.54926574321036,-318.54926574321036
-301.33307112423626,-301.33307112423626
-325.72126965414543,-325.72126965414543
-298.17026632359995,-298.17026632359995
-281.6078176216784,-281.6078176216784
-372.0983027671499,-372.0983027671499
-303.8609979944762,-303.8609979944762
-353.00951211851475,-353.00951211851475
-342.16365849594655,-342.16365849594655
-302.58315658124906,-302.58315658124906
-385.39759646280714,-385.39759646280714
-319.5028873725696,-319.5028873725696
-308.7272189441526,-308.7272189441526
-299.1554868694311,-299.1554868694311
-304.12789481586873,-304.12789481586873
-351.1041817490332,-351.1041817490332
-355.90320591046316,-355.90320591046316
-329.4625836355238,-329.4625836355238
-320.8076744838583,-320.8076744838583
-339.8398544279665,-339.8398544279665
-329.4278776686071,-329.4278776686071
-328.11008747283216,-328.11008747283216
-333.78353028134217,-333.78353028134217
-322.2804373861301,-322.2804373861301
-308.75995561534404,-308.75995561534404
-314.28689557515634,-314.28689557515634
-326.93645336703275,-326.93645336703275
-314.2994777365233,-314.2994777365233
-293.53900782977666,-293.53900782977666
-299.04395251089096,-299.04395251089096
-290.43424985413986,-290.43424985413986
-285.90296223952373,-285.90296223952373
-302.65209392232845,-302.65209392232845
-359.16948967746384,-359.16948967746384
-262.64166404172045,-262.64166404172045
-312.1692270175974,-312.1692270175974
-333.20378810825224,-333.20378810825224
-336.81360756195124,-336.81360756195124
-247.05255756468526,-247.05255756468526
-282.54953022306125,-282.54953022306125
-267.62393167549845,-267.62393167549845
-323.9812985389781,-323.9812985389781
-300.23018060446,-300.23018060446
-312.33136827398,-312.33136827398
-313.5475060534464,-313.5475060534464
-279.7517784546437,-279.7517784546437
-290.07897196717016,-290.07897196717016
-335.9815207785682,-335.9815207785682
-316.1154433212171,-316.1154433212171
-304.0415605011025,-304.0415605011025
-339.8405429950231,-339.8405429950231
-305.94736154346606,-305.94736154346606
-319.26927991978124,-319.26927991978124
-353.7269114177533,-353.7269114177533
-370.4122360061213,-370.4122360061213
-263.88341143018783,-263.88341143018783
-304.9756212081987,-304.9756212081987
-306.10870486333414,-306.10870486333414
-304.419140058399,-304.419140058399
-323.4168292341284,-323.4168292341284
-260.35730811030595,-260.35730811030595
-339.9894784062369,-339.9894784062369
-239.9784818589382,-239.9784818589382
-307.8055928956584,-307.8055928956584
-302.87884887697436,-302.87884887697436
-293.71530055697303,-293.71530055697303
-313.1784536821044,-313.1784536821044
-274.0871217738703,-274.0871217738703
-259.38728156969535,-259.38728156969535
-273.6098636171583,-273.6098636171583
-275.47261039546936,-275.47261039546936
-296.01299637867913,-296.01299637867913
-273.4816696943782,-273.4816696943782
-267.73850920382455,-267.73850920382455
-273.28301735971195,-273.28301735971195
-289.3464854823644,-289.3464854823644
-288.0567294470349,-288.0567294470349
-280.4653372678918,-280.4653372678918
-308.1925903639791,-308.1925903639791
-275.8584461320827,-275.8584461320827
-225.85319152901272,-225.85319152901272
-358.72714771778277,-358.72714771778277
-330.78619499897934,-330.78619499897934
-324.01068684002087,-324.01068684002087
-326.34666384290114,-326.34666384290114
-284.85286722737465,-284.85286722737465
-319.8824134912719,-319.8824134912719
-294.9247913122279,-294.9247913122279
-337.71634083568966,-337.71634083568966
-282.48061404155,-282.48061404155
-256.339554279483,-256.339554279483
-305.94509572044376,-305.94509572044376
-308.2834805049747,-308.2834805049747
-338.6039409626103,-338.6039409626103
-310.24082657216036,-310.24082657216036
-316.70433896650786,-316.70433896650786
-313.0914314548446,-313.0914314548446
-347.79330240635346,-347.79330240635346
-292.73034782576485,-292.73034782576485
-283.2427613608015,-283.2427613608015
-281.39079704181916,-281.39079704181916
-309.0520519134528,-309.0520519134528
-229.42671393382994,-229.42671393382994
-282.06464548441534,-282.06464548441534
-288.54259500374627,-288.54259500374627
-287.53335062743304,-287.53335062743304
-301.28268725380826,-301.28268725380826
-386.954962714872,-386.954962714872
-336.0886285377789,-336.0886285377789
-285.28637997752344,-285.28637997752344
-341.1812235457832,-341.1812235457832
-310.5528670901442,-310.5528670901442
-287.64371002608755,-287.64371002608755
-403.92834163486344,-403.92834163486344
-325.37987063359276,-325.37987063359276
-252.87959123041173,-252.87959123041173
-271.63592231898133,-271.63592231898133
-259.5054675637144,-259.5054675637144
-341.9009078329015,-341.9009078329015
-252.54526584165686,-252.54526584165686
-294.8167850114638,-294.8167850114638
-288.61208612602763,-288.61208612602763
-274.2595223233901,-274.2595223233901
-298.37475852507606,-298.37475852507606
-235.1595387257637,-235.1595387257637
-286.3474312472212,-286.3474312472212
-270.61900248120486,-270.61900248120486
-246.8787466963229,-246.8787466963229
-315.37739912745093,-315.37739912745093
-255.946087952723,-255.946087952723
-251.03955513530346,-251.03955513530346
-364.6572512627096,-364.6572512627096
-261.95296401790813,-261.95296401790813
-264.69249616029924,-264.69249616029924
-254.52413787265965,-254.52413787265965
-260.3510601985402,-260.3510601985402
-270.739925743126,-270.739925743126
-373.31101576328956,-373.31101576328956
-202.22207905716994,-202.22207905716994
-294.58619830897436,-294.58619830897436
-266.7947239558495,-266.7947239558495
-297.7328603581405,-297.7328603581405
-317.68705845615,-317.68705845615
-247.29098995781814,-247.29098995781814
-273.1349484933924,-273.1349484933924
-276.89254166015377,-276.89254166015377
-296.3714244300207,-296.3714244300207
-278.10957294203536,-278.10957294203536
-225.79687398331558,-225.79687398331558
-287.7558426865576,-287.7558426865576
-285.36043010625076,-285.36043010625076
-363.90981064495185,-363.90981064495185
-255.95747550590696,-255.95747550590696
-291.91040693862556,-291.91040693862556
-228.53934403867362,-228.53934403867362
-261.81881736152354,-261.81881736152354
-268.4187932807045,-268.4187932807045
-299.59976220797336,-299.59976220797336
-315.1975104960236,-315.1975104960236
-260.2368538786224,-260.2368538786224
