train,test
-368.05946394453827,-368.05946394453827
-329.3359204627953,-329.3359204627953
-306.1528901326197,-306.1528901326197
-373.9845380350627,-373.9845380350627
-349.86923146874665,-349.86923146874665
-407.7775650764129,-407.7775650764129
-359.53355290446495,-359.53355290446495
-364.44719743456966,-364.44719743456966
-325.9024712758565,-325.9024712758565
-403.1686703801049,-403.1686703801049
-417.54482657693467,-417.54482657693467
-350.33941101904696,-350.33941101904696
-335.50133161951544,-335.50133161951544
-327.48146943694655,-327.48146943694655
-340.12238778249935,-340.12238778249935
-326.4913562022922,-326.4913562022922
-341.2703549004403,-341.2703549004403
-360.824388160576,-360.824388160576
-372.1322664020022,-372.1322664020022
-327.26451422658033,-327.26451422658033
-333.774206406839,-333.774206406839
-344.72913798459086,-344.72913798459086
-417.6689515448905,-417.6689515448905
-317.90930807062784,-317.90930807062784
-329.35742153390277,-329.35742153390277
-355.8957816981546,-355.8957816981546
-382.6822844854254,-382.6822844854254
-347.3747065341811,-347.3747065341811
-343.08042618622176,-343.08042618622176
-395.8936886736852,-395.8936886736852
-343.86737139168713,-343.86737139168713
-347.4011951232107,-347.4011951232107
-403.13330014492885,-403.13330014492885
-343.16530378664925,-343.16530378664925
-401.23578844796515,-401.23578844796515
-392.7079633919389,-392.7079633919389
-330.03347327731507,-330.03347327731507
-336.12101742622036,-336.12101742622036
-346.82558932889617,-346.82558932889617
-361.55027058341284,-361.55027058341284
-372.54393835988964,-372.54393835988964
-348.9497186766225,-348.9497186766225
-305.23663409837485,-305.23663409837485
-337.16925021461464,-337.16925021461464
-341.2873225387592,-341.2873225387592
-350.3118055619606,-350.3118055619606
-320.4393105319589,-320.4393105319589
-400.0986439670039,-400.0986439670039
-341.0928335742902,-341.0928335742902
-331.04461832966314,-331.04461832966314
-379.6679812715557,-379.6679812715557
-314.19334105890846,-314.19334105890846
-325.5591934625344,-325.5591934625344
-337.10145137210276,-337.10145137210276
-325.324537418293,-325.324537418293
-364.989566183657,-364.989566183657
-342.5028089411403,-342.5028089411403
-370.7839539935127,-370.7839539935127
-377.5105824780037,-377.5105824780037
-359.4332187496307,-359.4332187496307
-341.77592032729854,-341.77592032729854
-354.95337326170613,-354.95337326170613
-391.99348855618945,-391.99348855618945
-380.1404257322128,-380.1404257322128
-304.9108916473683,-304.9108916473683
-384.4078660161211,-384.4078660161211
-346.27033756180094,-346.27033756180094
-353.175539278999,-353.175539278999
-392.18313567378647,-392.18313567378647
-349.30193339512215,-349.30193339512215
-403.2888193993564,-403.2888193993564
-318.15219738459956,-318.15219738459956
-325.33301875277385,-325.33301875277385
-348.3746991288042,-348.3746991288042
-359.0072041826889,-359.0072041826889
-374.3928981289942,-374.3928981289942
-334.5715803892643,-334.5715803892643
-343.0046458293504,-343.0046458293504
-322.47809016044204,-322.47809016044204
-399.52321403403863,-399.52321403403863
-356.5998404608175,-356.5998404608175
-334.53210651996966,-334.53210651996966
-330.66398187063595,-330.66398187063595
-385.897292342518,-385.897292342518
-347.7855352254138,-347.7855352254138
-353.9924272237433,-353.9924272237433
-330.01711408566734,-330.01711408566734
-352.28069035917065,-352.28069035917065
-358.13952319709676,-358.13952319709676
-358.70242259888806,-358.70242259888806
-376.45290891207424,-376.45290891207424
-314.2871072047323,-314.2871072047323
-368.56544582091266,-368.56544582091266
-352.71133486045676,-352.71133486045676
-384.66821372762166,-384.66821372762166
-347.3783861043393,-347.3783861043393
-338.5362549421692,-338.5362549421692
-328.7232068750506,-328.7232068750506
-368.1342706780245,-368.1342706780245
-318.15178783610014,-318.15178783610014
-322.97378273335596,-322.97378273335596
-359.52831471754035,-359.52831471754035
-291.9423306458067,-291.9423306458067
-340.31737148332974,-340.31737148332974
-388.55919550607024,-388.55919550607024
-361.39521310887403,-361.39521310887403
-307.1997864530468,-307.1997864530468
-361.14703871267363,-361.14703871267363
-351.9983125446489,-351.9983125446489
-365.2446699772585,-365.2446699772585
-346.9726567386845,-346.9726567386845
-308.7171899138004,-308.7171899138004
-304.6022368259614,-304.6022368259614
-329.4262912076948,-329.4262912076948
-300.9304449600956,-300.9304449600956
-352.8904184286838,-352.8904184286838
-359.9670570684066,-359.9670570684066
-351.1466925014752,-351.1466925014752
-424.88888374950443,-424.88888374950443
-377.24867335481184,-377.24867335481184
-351.31415697992463,-351.31415697992463
-337.8493292908785,-337.8493292908785
-381.4430255795025,-381.4430255795025
-337.9493676060073,-337.9493676060073
-329.83357204781163,-329.83357204781163
-313.1785518174263,-313.1785518174263
-350.3318957092015,-350.3318957092015
-348.76368338280383,-348.76368338280383
-330.9260693647975,-330.9260693647975
-406.0830973252283,-406.0830973252283
-353.5908048145622,-353.5908048145622
-359.33979726878323,-359.33979726878323
-374.243487053931,-374.243487053931
-308.408329490266,-308.408329490266
-334.4300733132568,-334.4300733132568
-367.71628912205415,-367.71628912205415
-343.14294213694706,-343.14294213694706
-343.33327378591383,-343.33327378591383
-366.57937820029474,-366.57937820029474
-396.1251953062879,-396.1251953062879
-351.30670801066935,-351.30670801066935
-378.2423636239336,-378.2423636239336
-354.7975084829206,-354.7975084829206
-371.66854324770026,-371.66854324770026
-384.534187155774,-384.534187155774
-330.040195541547,-330.040195541547
-356.0076281113319,-356.0076281113319
-329.2227967130409,-329.2227967130409
-340.0355597084307,-340.0355597084307
-351.20740603173164,-351.20740603173164
-334.90364261296736,-334.90364261296736
-389.63914944935726,-389.63914944935726
-345.4390420395352,-345.4390420395352
-361.8831056307869,-361.8831056307869
-396.3874068025025,-396.3874068025025
-355.0334257434914,-355.0334257434914
-427.59774766636986,-427.59774766636986
-368.2248037985507,-368.2248037985507
-331.0017684329432,-331.0017684329432
-316.35230744751465,-316.35230744751465
-326.51261629757346,-326.51261629757346
-318.73891031692267,-318.73891031692267
-327.65948925708744,-327.65948925708744
-350.62855379597664,-350.62855379597664
-358.39635103838333,-358.39635103838333
-352.4485538498363,-352.4485538498363
-376.9754512833518,-376.9754512833518
-326.55317242862105,-326.55317242862105
-351.4091137300076,-351.4091137300076
-339.13995022450564,-339.13995022450564
-330.2023326784016,-330.2023326784016
-385.4934678148845,-385.4934678148845
-326.0770800559913,-326.0770800559913
-333.43710855286247,-333.43710855286247
-394.2960758387729,-394.2960758387729
-356.8657543122913,-356.8657543122913
-332.65156466694066,-332.65156466694066
-365.2525460953071,-365.2525460953071
-342.36639373130356,-342.36639373130356
-365.8569187668236,-365.8569187668236
-302.5542716222102,-302.5542716222102
-397.37860956862124,-397.37860956862124
-396.359185919116,-396.359185919116
-361.2072423948833,-361.2072423948833
-371.4279693363894,-371.4279693363894
-362.3717113302241,-362.3717113302241
-388.88141557056076,-388.88141557056076
-343.87479989341386,-343.87479989341386
-357.1920040965261,-357.1920040965261
-386.12823812587686,-386.12823812587686
-307.36398303975363,-307.36398303975363
-416.4218252201273,-416.4218252201273
-341.44959332854256,-341.44959332854256
-349.3593375229248,-349.3593375229248
-333.3327353501446,-333.3327353501446
-340.7405732306642,-340.7405732306642
-369.447914686556,-369.447914686556
-371.79540053360034,-371.79540053360034
-349.85119193271333,-349.85119193271333
-371.1748540530282,-371.1748540530282
-278.85478098245557,-278.85478098245557
-356.0109140381831,-356.0109140381831
-311.7145744675516,-311.7145744675516
-331.42306139794084,-331.42306139794084
-342.7553701108615,-342.7553701108615
-368.4447289931371,-368.4447289931371
-367.9106063774915,-367.9106063774915
-379.52842936121783,-379.52842936121783
-352.6749398464552,-352.6749398464552
-306.2215654768587,-306.2215654768587
-348.48031620939696,-348.48031620939696
-348.91099228311265,-348.91099228311265
-371.21544465291305,-371.21544465291305
