,train,test
0,0.0,-171.625
1,0.0,-177.125
2,0.0,-178.125
3,0.0,-182.5
4,0.0,-171.25
5,0.0,-179.625
6,0.0,-161.5
7,0.0,-188.125
8,0.0,-171.875
9,0.0,-173.375
10,0.0,-167.375
11,0.0,-169.5
12,0.0,-179.625
13,0.0,-164.375
14,0.0,-180.0
15,0.0,-167.125
16,0.0,-150.75
17,0.0,-166.375
18,0.0,-167.375
19,0.0,-176.125
20,0.0,-163.75
21,0.0,-168.0
22,0.0,-173.125
23,0.0,-145.75
24,0.0,-143.62500000000003
25,0.0,-148.875
26,0.0,-177.5
27,0.0,-156.375
28,0.0,-126.625
29,0.0,-138.00000000000003
30,0.0,-160.375
31,0.0,-159.75
32,0.0,-163.125
33,0.0,-158.75
34,0.0,-160.5
35,0.0,-164.0
36,0.0,-162.625
37,0.0,-155.0
38,0.0,-158.125
39,0.0,-167.875
40,0.0,-155.25
41,0.0,-137.375
42,0.0,-145.75
43,0.0,-128.375
44,0.0,-162.25
45,0.0,-158.5
46,0.0,-133.12499999999997
47,0.0,-132.125
48,0.0,-142.375
49,0.0,-140.99999999999997
50,0.0,-138.875
51,0.0,-125.375
52,0.0,-140.37499999999997
53,0.0,-159.75
54,0.0,-127.49999999999997
55,0.0,-122.87500000000003
56,0.0,-124.375
57,0.0,-172.875
58,0.0,-137.75
59,0.0,-134.875
60,0.0,-131.37499999999997
61,0.0,-176.875
62,0.0,-158.375
63,0.0,-127.0
64,0.0,-127.49999999999997
65,0.0,-164.75
66,0.0,-129.74999999999997
67,0.0,-164.25
68,0.0,-118.87500000000003
69,0.0,-129.00000000000003
70,0.0,-126.25000000000003
71,0.0,-150.25
72,0.0,-121.0
73,0.0,-122.25000000000003
74,0.0,-119.75
75,0.0,-125.24999999999997
76,0.0,-139.0
77,0.0,-144.5
78,0.0,-117.0
79,0.0,-102.25
80,0.0,-107.24999999999997
81,0.0,-88.75
82,0.0,-105.75
83,0.0,-130.375
84,0.0,-75.125
85,0.0,-70.625
86,0.0,-74.25
87,0.0,-135.5
88,0.0,-92.125
89,0.0,-92.25
90,0.0,-74.0
91,0.0,-103.12500000000003
92,0.0,-126.0
93,0.0,-117.0
94,0.0,-136.99999999999997
95,0.0,-116.62500000000003
96,0.0,-196.5
97,0.0,-134.875
98,0.0,-136.99999999999997
99,0.0,-117.5
100,0.0,-117.87499999999997
101,0.0,-104.75
102,0.0,-70.375
103,0.0,-120.25
104,0.0,-103.5
105,0.0,-178.125
106,0.0,-122.37499999999997
107,0.0,-72.5
108,0.0,-96.125
109,0.0,-60.25
110,0.0,-45.5
111,0.0,-58.75
112,0.0,-69.37499999999999
113,0.0,-73.0
114,0.0,-102.62500000000003
115,0.0,-150.125
116,0.0,-134.375
117,0.0,-86.5
118,0.0,-86.5
119,0.0,-109.75
120,0.0,-106.50000000000003
121,0.0,-98.25
122,0.0,-76.5
123,0.0,-60.5
124,0.0,-33.625
125,0.0,-27.75
126,0.0,-65.875
127,0.0,-103.75000000000003
128,0.0,-32.625
129,0.0,-50.5
130,0.0,-85.5
131,0.0,-131.87500000000003
132,0.0,-112.12500000000003
133,0.0,-42.374999999999986
134,0.0,-16.25
135,0.0,-54.375
136,0.0,-39.75
137,0.0,-43.0
138,0.0,-45.625
139,0.0,-31.375
140,0.0,-28.499999999999993
141,0.0,-41.125
142,0.0,-58.124999999999986
143,0.0,-52.25
144,0.0,-61.625
145,0.0,-95.375
146,0.0,-60.5
147,0.0,-26.500000000000007
148,0.0,-53.75
149,0.0,-46.125
150,0.0,-56.5
151,0.0,-70.375
152,0.0,-53.000000000000014
153,0.0,-13.749999999999996
154,0.0,3.0
155,0.0,15.0
156,0.0,-47.0
157,0.0,-58.5
158,0.0,-30.5
159,0.0,-82.25
160,0.0,-139.24999999999997
161,0.0,-80.75
162,0.0,-64.25000000000001
163,0.0,2.6249999999999996
164,0.0,-1.75
165,0.0,9.5
166,0.0,7.0
167,0.0,22.5
168,0.0,-54.125000000000014
169,0.0,-32.875
170,0.0,-63.25
171,0.0,-53.875
172,0.0,-73.375
173,0.0,-81.5
174,0.0,-95.25
175,0.0,-115.50000000000003
176,0.0,-75.5
177,0.0,-67.75
178,0.0,-36.25
179,0.0,-10.875
180,0.0,1.0
181,0.0,13.375
182,0.0,-18.75
183,0.0,24.625
184,0.0,6.375
185,0.0,35.625
186,0.0,46.5
187,0.0,31.874999999999993
188,0.0,-44.125
189,0.0,-73.25
190,0.0,-17.5
191,0.0,-11.375
192,0.0,-30.125
193,0.0,-25.375000000000007
194,0.0,9.75
195,0.0,-39.125
196,0.0,-38.375
197,0.0,-5.875
198,0.0,-14.5
199,0.0,-14.75
200,0.0,-27.25
201,0.0,-15.0
202,0.0,25.5
203,0.0,25.0
204,0.0,49.625000000000014
205,0.0,54.5
206,0.0,41.0
207,0.0,30.749999999999993
208,0.0,5.75
209,0.0,12.125000000000004
210,0.0,-15.999999999999996
211,0.0,-35.50000000000001
212,0.0,-3.125
213,0.0,18.5
214,0.0,3.375
215,0.0,18.5
216,0.0,15.999999999999996
217,0.0,-18.125
218,0.0,-18.75
219,0.0,-9.0
220,0.0,21.625
221,0.0,-36.25
222,0.0,-15.75
223,0.0,-9.5
224,0.0,-17.750000000000004
225,0.0,-20.75
226,0.0,28.25
227,0.0,46.0
228,0.0,57.375
229,0.0,15.125
230,0.0,29.624999999999993
231,0.0,5.125
232,0.0,30.5
233,0.0,42.5
234,0.0,21.125
235,0.0,-17.0
236,0.0,26.75
237,0.0,24.75
238,0.0,-26.75
239,0.0,-20.75
240,0.0,-7.25
241,0.0,11.499999999999996
242,0.0,15.625
243,0.0,59.5
244,0.0,24.5
245,0.0,31.000000000000007
246,0.0,65.625
247,0.0,63.625
248,0.0,40.0
249,0.0,-36.0
250,0.0,-19.5
251,0.0,-7.125
252,0.0,-28.750000000000007
253,0.0,-18.0
254,0.0,-10.5
255,0.0,-17.25
256,0.0,25.875
257,0.0,29.0
258,0.0,43.0
259,0.0,65.0
260,0.0,56.999999999999986
261,0.0,77.5
262,0.0,42.125
263,0.0,26.125
264,0.0,12.25
265,0.0,-1.625
266,0.0,29.0
267,0.0,15.625
268,0.0,-24.250000000000007
269,0.0,-20.5
270,0.0,36.25
271,0.0,1.625
272,0.0,-54.5
273,0.0,-73.25
274,0.0,-39.75
275,0.0,-28.125
276,0.0,-24.125
277,0.0,-0.25
278,0.0,5.875
279,0.0,-8.125
280,0.0,72.75
281,0.0,81.25
282,0.0,78.5
283,0.0,83.875
284,0.0,64.75
285,0.0,25.5
286,0.0,-7.375
287,0.0,2.75
288,0.0,19.875
289,0.0,25.625
290,0.0,15.999999999999996
291,0.0,32.25
292,0.0,36.125
293,0.0,25.875
294,0.0,51.0
295,0.0,56.875
296,0.0,50.0
297,0.0,58.0
298,0.0,27.0
299,0.0,42.5
300,0.0,42.5
301,0.0,61.499999999999986
302,0.0,52.625
303,0.0,30.5
304,0.0,64.5
305,0.0,39.5
306,0.0,43.0
307,0.0,33.5
308,0.0,16.125
309,0.0,46.125
310,0.0,45.0
311,0.0,73.75
312,0.0,91.5
313,0.0,72.375
314,0.0,30.125
315,0.0,51.125
316,0.0,76.75
317,0.0,35.875
318,0.0,56.125
319,0.0,77.875
320,0.0,89.0
321,0.0,116.5
322,0.0,104.25000000000003
323,0.0,98.5
324,0.0,96.0
325,0.0,90.25
326,0.0,98.625
327,0.0,96.75
328,0.0,97.625
329,0.0,112.87499999999997
330,0.0,86.0
331,0.0,108.125
332,0.0,119.50000000000003
333,0.0,117.625
334,0.0,119.50000000000003
335,0.0,109.625
336,0.0,107.12500000000003
337,0.0,112.12500000000003
338,0.0,82.875
339,0.0,75.375
340,0.0,88.625
341,0.0,51.875000000000014
342,0.0,95.5
343,0.0,89.375
344,0.0,99.0
345,0.0,94.5
